Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Yones,https://www.crunchbase.com/organization/yones,"Machine Learning, News, Personalization, Publishing","Munich, Bayern, Germany",Yones offers a news application with machine learning technologies that personalizes content based on the user's interests.,"1,507,318","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.yones.net,,https://www.facebook.com/yonesdeutschland,https://www.linkedin.com/company/yones,mfs@yones.net,015123253873,1,,"Yones is a news application that adapts to the user. Yones knows what the individual user is interested in, what they have already read, and anticipates what they would like to read in the future. This is made possible with technology based on machine learning. Every day, people spend several hours with media, especially reading the news. They consume information either online or printed, maybe as a subscription. Thanks to the Internet they have access to much more news sources than ever. At the same time, however, they are increasingly facing the problem of information overload. It is becoming more difficult and time-consuming to distinguish between what represents important information and what not. The Yones apps in Android, iOS and all web browsers reduce the daily news flood to the articles that the algorithms judge to be interesting to the reader. The users save time by getting the content they are interested in straight away, without being distracted by irrelevant information. Provided with information gathered from hundreds of different news sources they are more likely to find interesting articles which they would otherwise not have found in a reasonable amount of time.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Software",3,"Christian Kulas, Marek Walasek, Mark-Felix Schutz",1-10,1,Seed,2013-11-01,125000,USD,125000,Seed,125000,USD,125000,Seed,125000,USD,125000,125000,USD,125000,,,
Skyposium,https://www.crunchbase.com/organization/skyposium,"Analytics, Artificial Intelligence (AI), Cloud Management, Communications Infrastructure, CRM, Information Technology, Messaging, Video","Hamburg, Hamburg, Germany","Skyposiums revolutionary technology, Wormhole, is capable of transferring data at maximum bandwidth efficiency and therefore faster!","1,511,103","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2015-08-01,day,,,,,For Profit,http://www.skyposium.com,,,,,,,,"Skyposium offers its users with communication tools that uses the power of AI. The communication suite of the company comprises of video chat, call, and text chat services. Skyposium is a Germany-based company that was founded in 2015 by Neal Bruewer and Dr. Abdolreza Eshghipour.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software, Video",2,"Abdolreza Eshghipour, Neal Bruewer",,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,,,
Predict Effect,https://www.crunchbase.com/organization/zoodig,"Advertising, Artificial Intelligence (AI), Machine Learning","Sunnyvale, California, United States",Predict Effect is a marketing intelligence and audience management platform powered by Machine Learning.,"1,514,025","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,2011-01-01,year,,,,,For Profit,http://predicteffect.com/,https://www.twitter.com/predicteffect,https://www.facebook.com/zoodig,,info@predicteffect.com,(650) 279-2628,2,, ,,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",2,"Aditya Jami, Blake Bunker",1-10,1,Seed,2011-07-01,,,,Angel,,,,Angel,,,,,,,,,
Zhongrun Optical Technology,https://www.crunchbase.com/organization/zhongrun-optical-technology,"Artificial Intelligence (AI), Internet of Things, Manufacturing","Xizhou, Jiangxi, China",Zhongrun Optical Technology specializes in the design and development of optical products and intelligent precision manufacturing.,"1,515,842",Asia-Pacific (APAC),,,,Active,2012-08-01,month,,,2023-02-06,day,For Profit,http://www.zmax-opt.com,,,,,+86-573-8222-9907,,,"Zhongrun Optical Technology specializes in the design and development of optical products and intelligent precision manufacturing.  Zhongrun Optics will always adhere to the corporate mission of ""driving the industry with innovation, creating value with science and technology, and serving customers with quality"" and the corporate mission of ""market first, research and development as the top, technology as the essence, quality as the foundation, manufacturing as the root, and talent as the basis. "", adhere to the sustainable development strategy, strengthen the basic technology and innovation capabilities of my country's artificial intelligence industry chain, and make unremitting efforts to realize the corporate vision of ""unseen, make the future world clearer, brighter and better"".",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Science and Engineering, Software",,,,1,IPO,2014-01-01,,,,Seed,,,,Seed,,,,,,,Boyan fund,,1
wiseri,https://www.crunchbase.com/organization/wiseri,"Artificial Intelligence (AI), Crowdsourcing, Employment, Gamification, Recruiting, Search Engine","San Sebastián De Los Reyes, Madrid, Spain","Wiseri is an online recruitment platform that captivates, guides, and motivates human capital as a resource for enterprises.","1,530,955","European Union (EU), Europe, Middle East, and Africa (EMEA)",28073,,,Closed,2010-01-01,year,,none,,,For Profit,http://www.wiseri.com,http://twitter.com/Wiseri,,,info@wiseri.com,34 63 555 15 41,6,,"""We're brewing something new in wiseri and we're about to break the bubble of traditional job portals, candidate selection and everything else in between, by launching a completely different solution for the digital/IT vertical. wiseri promotes a tangible model, an intelligent selection process through an online platform and crowdsourcing, set out to actually provide an invaluable service both to candidates and companies. We'll bring you together and make sure you meet the right job or the right candidate. It's about time someone set out to do something different."" Wiseri is a job search platform which has a simple and sincere goal: to help as many people as possible find a job and to help businesses find the best candidates. The wiseri selection process ensures that candidates are only presented to companies where they have a good chance of being offered a job, and conversely, that companies are only presented with candidates with the skills and experience they are looking for. In November 2011, wiseri.com secured a round of investment worth 120,000 euros which was provided by 17 investors, all of whom are involved in the digital industries. Crucially for wiseri, this meant they brought to the company not only their money, but also their expertise and experience in the industry. In similar style to the way businesses in Silicon Valley secure seed capital, this investment round did not involve any outside investors or investment funds; but rather, the funds were provided by people who know and believe in what wiseri does. Furthermore, the round of investment was carried out from start to finish in a record time of 37 days and all communication between wiseri and its investors was conducted through email with complete transparency. On 14th January 2012, wiseri revealed a new side of its online platform, a system that sources talent from the crowd to form an expert selection team. In doing so, wiseri became the first company in the job search industry to incorporate gamification and crowdsourcing into its system. Members of the selection team are called Wisors and any job application made through wiseri.com first has to pass through the hands of a Wisor, who selects only those applications best matched to the job position and presents them to the company, taking care to give genuine and useful feedback to each candidate who didn't quite make it to ensure they have a better chance the next time round. And to make sure that the applications are checked by someone who knows what they're doing, only people who have already passed through the wiseri application system can go on to become Wisors; and once you are a Wisor, well, then you can enjoy a whole range of perks along the way, saving up wirees (wiseri's currency) as you go that you can cash in for a whole load of prizes.?",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Internet Services, Other, Professional Services, Science and Engineering, Software",3,"Jorge Jimenez, Jose Angel Cano, Marina Zaliznyak",11-50,1,Seed,2011-11-01,120000,EUR,164075,Seed,120000,EUR,164075,Seed,120000,EUR,164075,120000,EUR,164075,,,
Ladon Labs,https://www.crunchbase.com/organization/ladon-labs,"Artificial Intelligence (AI), Consulting, Machine Learning","Toronto, Ontario, Canada",Ladon Labs offers a handheld barcode scanner which uses machine learning to identify produce items without the need for barcodes.,"1,531,965",Great Lakes,,,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://ladonlabs.com/,,https://www.facebook.com/LadonLabs,https://www.linkedin.com/company/ladon-labs,founders@phashtag.com,,,,"Ladon Labs offers a handheld barcode scanner which uses machine learning to identify produce items without the need for barcodes. It was founded in 2013 and is based in Ontario, Canada.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Josh Sideris,1-10,1,Seed,2015-01-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,LaunchYU,,1
Apptimum,https://www.crunchbase.com/organization/apptimum,"Innovation Management, Intelligent Systems, Retail Technology, Software","Sunrise, Florida, United States",Apptimum is a company that develops software to ease the transfer of applications to new computers.,"1,535,696","Greater Miami Area, East Coast, Southern US",33325,,,Active,1998-01-01,year,,,2006-03-07,day,For Profit,,,,,,(954)845-9941,5,,"Apptimum is a company that develops software to ease the transfer of applications to new computers.  It's most popular product is PC Relocator, Published under the company name AlohaBob. Apptimum was acquired by Microsoft in March 2006.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Professional Services, Science and Engineering, Software",,,,1,M&A,2001-11-05,7000000,USD,7000000,Venture - Series Unknown,7000000,USD,7000000,Venture - Series Unknown,7000000,USD,7000000,7000000,USD,7000000,Baird Capital,,1
Predict Point,https://www.crunchbase.com/organization/predict-point,"E-Commerce, Internet, Machine Learning, SaaS, Software","Seattle, Washington, United States","SaaS, AI, Machine Learning, Supply Chain, Sales Optimization","1,539,579","Greater Seattle Area, West Coast, Western US",98104,,,Closed,2019-01-01,year,,none,,,For Profit,http://predictpoint.com,,,,info@predictpoint.com,9187860900,,,"PredictPoint Inc., is a young Seattle based Internet start-up focused on helping e-commerce companies realize greater profitability through intelligent merchandising applications. Founded in January 1999, PredictPoint provides e-commerce marketing and merchandising managers with next generation tools to help them analyze and maximize their e-commerce initiatives. PredictPoint is currently developing its flagship product and is seeking talented and motivated individuals to help take e-commerce to the next frontier.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Software",,,1-10,1,Seed,2000-03-08,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,iStart Ventures,,1
NUA Robotics,https://www.crunchbase.com/organization/nua-robotics,"Artificial Intelligence (AI), Computer Vision, Internet of Things, Robotics, Sensor, Software","Jerusalem, Yerushalayim, Israel","Their vision is to give the things they use everyday a human-like behavior, and by that allowing them to become their personal assistants.","1,542,042","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",97791,,Less than $1M,Active,2015-01-01,year,,,,,For Profit,http://www.nuarobotics.com,https://twitter.com/nuarobotics,https://www.facebook.com/NUA-Robotics-1511742662447506,https://www.linkedin.com/company/fellow--technology-of-freedom,,,2,,"They have developed a way for your belongings to follow and communicate with you and the environment. They are making this magic by integrating robotics, computer vision and sensors network into your things, allowing you to control them from your smart phone",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",2,"Alex Libman, Liat Ackerman",1-10,1,Seed,2015-07-21,,,,Seed,,,,Seed,,,,,,,"HAX, SOSV",1,2
RooT,https://www.crunchbase.com/organization/root-2,"Agriculture, Farming, Predictive Analytics","San Francisco, California, United States",RooT supplies predictive irrigation solutions.,"1,544,422","San Francisco Bay Area, West Coast, Western US",,,$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://project-root.com/commercial.html#.U8b6tY1dV8Y,,,,,,,,"rooT's predictive analysis allow users to prepare for any unforeseen risks. rooT knows exactly when and how much to water your crops. rooT factors in your soil type, grade differentials, weather patterns, and more to create the ideal irrigation schedule.",,,,,,,,,,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Software",2,"Sai Arora, Sandeep Dinesh",11-50,1,Seed,2014-06-13,,,,Seed,,,,Seed,,,,,,,Plug and Play,,1
