Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
ZestIOT,https://www.crunchbase.com/organization/zestiot,"ZestIoT connects people, places, assets, and operations, delivering various use cases for various industries to improve resource utilization, make operations safer and more secure, and inspect product quality, allowing customers to realize a higher return on investment. It provides complete end-to-end solutions to customer problems with a clear focus on ROI, decision-making tools to realize benefits, and powerful UI/UX to reduce the risk of adoption through its product and OEM partners. It collaborates with various partners to bring the right technology that strikes a balance between cost, resilience, and durability..","Artificial Intelligence (AI), Industrial, Internet of Things, Productivity Tools","Hyderabad, Andhra Pradesh, India","ZestIOT is an IoT and AI-enabled aviation platform that integrates passenger, baggage, aircraft, ground, and airport operations.",7407824,USD,7407824,,,,"1,609",18,,7407824,USD,7407824,,,,510000000,INR,6236224,6,2023-05-03,Asia-Pacific (APAC),$1M to $10M,"3one4 Capital, Loyal VC, IvyCap Ventures, Pontaq, Boeing HorizonX Ventures",,,,Private,50003,2016-01-01,day,For Profit,https://www.zestiot.com,https://www.linkedin.com/company/zestiot,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Science and Engineering, Software",1,Amit Sukhija,51-100,Early Stage Venture,Series A,510000000,INR,6236224,Series A,2,6,,,"11,131","11,117"
Splash,https://www.crunchbase.com/organization/popgun,Splash develops AI-powered video games that lets anyone create and perform music to live audiences inside virtual venues.,"Artificial Intelligence (AI), Machine Learning, Music, Software, Video Games","Brisbane, Queensland, Australia",Splash is an AI company bringing the joy of music making to everyone.,23220227,USD,23220227,,,,"203,669",19,7,23220227,USD,23220227,353,,,20800000,USD,20800000,5,2021-11-02,"Asia-Pacific (APAC), Australasia",$1M to $10M,"Techstars, BITKRAFT Ventures, Khosla Ventures, Techstars Ventures, Amazon Alexa Fund",,,,Private,4006,2017-01-01,year,For Profit,https://splashmusic.com,https://www.linkedin.com/company/splashmusic,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,"Adam Hibble, Stephen Phillips",11-50,Early Stage Venture,Series A,20800000,USD,20800000,Series A,4,6,,,"11,141","11,126"
Continuum Industries,https://www.crunchbase.com/organization/continuum-industries,"Continuum Industries enables power, utility, and renewables companies to instantly visualize, analyze, and assess routing options for power lines, cables, and pipelines. They are the providers of enterprise software for infrastructure planning. They also provide solutions for electricity transmission, renewable energy developers, and hydrogen networks.","Artificial Intelligence (AI), Clean Energy, CleanTech, Machine Learning, Renewable Energy, Software","Edinburgh, Edinburgh, City of, United Kingdom",Continuum Industries is a provider of an AI-powered infrastructure development platform.,12250000,GBP,15218600,,,,,16,,12250000,GBP,15218600,,,,8000000,GBP,9771195,5,2023-09-25,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Creative Destruction Lab (CDL), Singular, Playfair Capital, Techstart Ventures, Avonmore Developments",,,,Private,EH3 9DR,2018-01-01,year,For Profit,https://continuum.industries/,https://www.linkedin.com/company/continuum-ind/,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",3,"Emil Hansen, Grzegorz Marecki, Matt Blythe",11-50,Early Stage Venture,Series A,8000000,GBP,9771195,Series A,3,9,,,"11,146","11,132"
Tune AI,https://www.crunchbase.com/organization/nimblebox-ai,Tune AI is the enterprise generative AI stack.,"Artificial Intelligence (AI), Developer Tools, Enterprise Software, Generative AI, Machine Learning, Software","San Francisco, California, United States",GenAI stack for enterprises to build their custom models,1756000,USD,1756000,,,0,"4,237",28,,1756000,USD,1756000,,,Scientific and technological services,,,,4,2024-03-28,"San Francisco Bay Area, West Coast, Western US",,"Techstars, Venture Catalysts, Accel, The Chennai Angels, Together Fund",,,0,Private,94107,2018-09-11,day,For Profit,https://tunehq.ai/,https://linkedin.com/company/tuneai/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Anshuman Pandey, Naman Maheshwari, Rohan Pooniwala",11-50,,Venture - Series Unknown,,,,Venture - Series Unknown,3,9,,,"11,146","11,131"
WideSense,https://www.crunchbase.com/organization/widesense,WideSense is an artificial intelligence cloud platform that delivers context-aware e-mobility services.,"Artificial Intelligence (AI), Cloud Data Services, Electric Vehicle, Software","Berkeley, California, United States",WideSense is an artificial intelligence cloud platform that delivers context-aware e-mobility services.,3255352,USD,3255352,,,,"5,022",3,,3000000,USD,3000000,,,,3000000,USD,3000000,2,2023-07-07,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,National Science Foundation,,,,Private,94704,2019-01-01,year,For Profit,https://www.widesense.net,https://www.linkedin.com/company/widesense,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software, Transportation",,,1-10,Seed,Seed,3000000,USD,3000000,Seed,1,1,,,"11,164","11,150"
Louisa AI,https://www.crunchbase.com/organization/louisa-ai,"Louisa is a collective intelligence platform. The company's platform connects to a company's various data sources and auto-creates a comprehensive map of who and what everyone in the company knows. By providing employees with a centralized platform to access the collective intelligence of the company, Louisa is the one-stop shop for all your knowledge and expertise needs.","Artificial Intelligence (AI), Big Data, Software","New York, New York, United States","Louisa is an AI Sales Enablement platform for finance and consulting companies by connecting expertise, relationships, and intelligence.",9300000,USD,9300000,,,,,49,,9300000,USD,9300000,,,,5000000,USD,5000000,2,2024-03-06,"Greater New York Area, East Coast, Northeastern US",,"Evolution VC, Gaingels, Palm Drive Capital, NLS Ventures, Nucleus Ventures",,,,Private,,2019-01-01,year,For Profit,https://www.louisa.ai,https://www.linkedin.com/company/louisaai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Rohan Doctor,11-50,Seed,Seed,5000000,USD,5000000,Seed,5,6,,,"11,174","11,160"
Ampcontrol,https://www.crunchbase.com/organization/chargingledger,"Ampcontrol is an AI-based software for electric fleets to reduce downtime and charging costs. The founder, Joachim Lohse is a software engineer and former energy markets consultant at PwC.","Artificial Intelligence (AI), Electric Vehicle, Energy, Fleet Management, Machine Learning, Power Grid, Smart Cities, Smart Home, Transportation","New York, New York, United States",Ampcontrol is an AI-based software for electric fleets to reduce downtime and charging costs.,14100000,USD,14100000,,,1,"4,291",9,,14100000,USD,14100000,,,Scientific and electric apparatus and instruments,10000000,USD,10000000,4,2023-07-26,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"The Westly Group, Lorimer Ventures, AngelPad, Chris Schagen",,,0,Private,10001,2018-01-01,year,For Profit,https://www.ampcontrol.io/,https://www.linkedin.com/company/ampcontrol-io/,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Transportation",1,Joachim Lohse,1-10,Early Stage Venture,Series A,10000000,USD,10000000,Series A,2,4,,,"11,179","11,164"
Heex Technologies,https://www.crunchbase.com/organization/heex-technologies,"Heex Technologies provides a data management platform to engineering teams so that they can transition from Big Data to Smart Data. Today, companies are requiring more precise information than ever before and if Big Data already allowed great progress, most AI developments are now facing a diminishing learning curve. By automatically extracting the most pertinent data at the edge, our software solution improves productivity with a seamless workflow designed to scale.","Artificial Intelligence (AI), Autonomous Vehicles, Data Collection and Labeling, Data Management, Generative AI, Machine Learning, Robotics, Software","Paris, Ile-de-France, France",Smart Data for AI development.,10321187,USD,10321187,,,,571,25,,9200000,EUR,10001187,,,,6000000,EUR,6529028,4,2024-01-18,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Techstars, Bpifrance, Karista, WILCO, SHIFT Invest",,,,Private,75001,2019-02-25,day,For Profit,https://heex.io,https://www.linkedin.com/company/heex-technologies/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",3,"Arnaud de La Fortelle, Bruno Mendes Da Silva, Etienne Boutan",11-50,Seed,Seed,6000000,EUR,6529028,Seed,4,14,,,"11,180","11,165"
Aavenir,https://www.crunchbase.com/organization/aavenir,"Aavenir is a software-as-a-service-based source-to-pay solutions provider. It revolutionizes age-old procurement processes by using the latest Machine Learning and Natural Language Processing technologies to reduce cycle time, yet offering insightful best practices suggestions based on historical data. It was founded in 2019 and is headquartered in Plano, Texas.","Computer, Machine Learning, SaaS, Software","Mckinney, Texas, United States",Aavenir is a software-as-a-service-based source-to-pay solutions provider.,8000000,USD,8000000,,,,"5,215",45,23,8000000,USD,8000000,,,,6000000,USD,6000000,2,2022-03-22,"Dallas/Fort Worth Metroplex, Southern US",$1M to $10M,"Accel, ScOp Venture Capital, Bossanova Investimentos",,,,Private,75070,2019-01-01,year,For Profit,https://aavenir.com/,https://www.linkedin.com/company/aavenirinfo,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Software",1,Jesal Mehta,1-10,Early Stage Venture,Series A,6000000,USD,6000000,Series A,1,3,,,"11,187","11,173"
Diffbot,https://www.crunchbase.com/organization/diffbot,Diffbot is a world-class group of AI researchers building an autonomous system to structure the world's knowledge. Thousands of leading companies rely on Diffbot data for their enterprise and consumer applications. ,"Analytics, Artificial Intelligence (AI), Developer APIs, Enterprise Software, Internet, Machine Learning, Mobile, Natural Language Processing, Semantic Search","Menlo Park, California, United States",Diffbot is an AI startup that provides knowledge as a service to power intelligent applications.,13000000,USD,13000000,,,3,"19,820",47,48,13000000,USD,13000000,,,Advertising; business,10000000,USD,10000000,3,2016-02-11,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Tencent, Bloomberg Beta, StartX (Stanford-StartX Fund), Webb Investment Network, Matrix",$10M to $50M,2016-02-12,0,Private,94025,2012-01-01,year,For Profit,http://www.diffbot.com,https://www.linkedin.com/company/diffbot,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software",1,Michael Tung,11-50,Early Stage Venture,Series A,10000000,USD,10000000,Series A,4,16,,,"11,190","11,176"
Pera Labs,https://www.crunchbase.com/organization/pera-labs,PERA LABS is a provider of software solutions for fertility management. It has developed an AI-powered sperm analysis device for fertility and reproductive health problems. It also provides a HUGO device that is a cloud-based egg (oocyte) quality analysis tool. Another device is FIMS that helps to monitor the couple's reproductive health and pregnancy.,"Artificial Intelligence (AI), Health Care, Life Science, Livestock, Machine Learning, Medical Device, Software","Philadelphia, Pennsylvania, United States",Pera Labs develops digiceuticals and AI-powered solutions for fertility.,1250000,USD,1250000,,,1,"1,140",2,,1250000,USD,1250000,,,Scientific and electric apparatus and instruments,,,,3,2023-06-05,"Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,"Jumpstart Foundry, Phase One Ventures, Malta Enterprise, Ashok Chakravarti",,,0,Private,19104,2019-01-01,year,For Profit,https://peralabs.co,https://www.linkedin.com/company/peralabs,,,"Agriculture and Farming, Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1,Burak Özkösem,11-50,Seed,Seed,,,,Seed,4,4,,,"11,191","11,177"
HydroX AI,https://www.crunchbase.com/organization/hydrox-ai,HydroX AI is an AI-based security platform that provides a one-stop solution for risk control and data protection for large models from cyber threats and ethical hackers.,"Artificial Intelligence (AI), Cyber Security, Security","Palo Alto, California, United States",HydroX AI is an AI-based security platform that provides one-stop solution for risk control and protecting sensitive data of large models.,4000000,USD,4000000,,,,634,15,,4000000,USD,4000000,,,,4000000,USD,4000000,1,2023-11-06,"San Francisco Bay Area, Silicon Valley, West Coast",,"Vitalbridge Capital, Atom Capital, Qi Lu",,,,Private,,2023-01-01,year,For Profit,https://www.hydrox.ai,https://www.linkedin.com/company/hydrox-ai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,1-10,Seed,Angel,4000000,USD,4000000,Angel,1,3,,,"11,206","11,191"
