Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
FoodMaven,https://www.crunchbase.com/organization/foodmaven,"Artificial Intelligence (AI), Business Information Systems, E-Commerce, Food and Beverage, Procurement","Denver, Colorado, United States",FoodMaven is a B2B marketplace that helps restaurants and food service compare products and find deals on their ingredients.,"21,058"
Splice Machine,https://www.crunchbase.com/organization/splice-machine,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Software","San Francisco, California, United States","Splice Machine is a data platform that offers offline, and batch analysis, and powers intelligent applications for operational workflows.","21,079"
Hong Jing Drive,https://www.crunchbase.com/organization/hong-jing-drive,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Hangzhou, Zhejiang, China",Hong Jing Drive provides a computing platform for autonomous driving vehicles.,"21,137"
OkamiAI,https://www.crunchbase.com/organization/okamiai,"Artificial Intelligence (AI), Information Technology","Boston, Massachusetts, United States",OkamiAI is an artificial intelligence company.,"21,253"
Reflektion,https://www.crunchbase.com/organization/reflektion,"Artificial Intelligence (AI), Big Data, E-Commerce, Machine Learning, Personalization, Predictive Analytics, Retail Technology","San Mateo, California, United States",Reflektion understands the individual intent and preferences of each customer and intelligently responds in real time.,"21,357"
Taptica,https://www.crunchbase.com/organization/taptica,"Advertising, Advertising Platforms, Data Integration, Machine Learning, Marketing, Mobile, Personal Branding","San Francisco, California, United States",Taptica is a performance-based online marketing network that helps businesses optimize ROI-driven marketing campaigns and raise revenue.,"21,370"
Esme Learning Solutions,https://www.crunchbase.com/organization/esme-learning-solutions,"Artificial Intelligence (AI), E-Learning, Education, Software","Newton, Massachusetts, United States",Esme Learning is transforming the world's workforce for the Fourth Industrial Revolution using AI.,"21,437"
LangChain,https://www.crunchbase.com/organization/langchain,"Artificial Intelligence (AI), Database, Developer APIs, Generative AI","San Francisco, California, United States",LangChain enables developers to accelerate their LLM application workflows by overseeing the entire project lifecycle.,"21,566"
GeoPhy,https://www.crunchbase.com/organization/officerank,"Analytics, Artificial Intelligence (AI), Big Data, Commercial Real Estate, Machine Learning, Real Estate","The Hague, Zuid-Holland, The Netherlands",GeoPhy uses data science to provide the real estate industry with an objective understanding of value.,"21,805"
MWM,https://www.crunchbase.com/organization/music-world-media,"Apps, Artificial Intelligence (AI), Machine Learning, Marketing, Mobile Apps, Web Apps","Paris, Ile-de-France, France",MWM is designing and scaling mobile apps powered by in-house AI technologies,"21,906"
Artur'In,https://www.crunchbase.com/organization/artur-in,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Marketing, Real Estate","Paris, Ile-de-France, France",Artur'In is an AI-based platform to help real-estate professionals deploy an advanced digital marketing solution.,"21,955"
Karos,https://www.crunchbase.com/organization/karos,"Artificial Intelligence (AI), Machine Learning, Mobile Apps, Ride Sharing","Paris, Ile-de-France, France","Karos transform available car seats into public transport networks, leveraging AI and mobile technologies.","21,969"
Stacked Farm,https://www.crunchbase.com/organization/stacked-farm,"Agriculture, Farming, Food Processing, Manufacturing, Robotic Process Automation (RPA)","Gold Coast, Queensland, Australia","Stacked Farm offers cost-effective, nutritious, and pristine fresh produce, from seed to pack, with no human intervention.","22,023"
Dishcraft Robotics,https://www.crunchbase.com/organization/dishcraft-robotics,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Mechanical Engineering, Robotics","San Carlos, California, United States",Dishcraft is a robotics company focused on solving the labor and sustainability challenges facing foodservice operators.,"22,187"
Magnetic,https://www.crunchbase.com/organization/magnetic,"Ad Targeting, Advertising, Artificial Intelligence (AI), Digital Marketing, Digital Media, E-Commerce, Personalization","New York, New York, United States",Magnetic is a AI digital marketing platform,"22,189"
Imagia,https://www.crunchbase.com/organization/imagia,"Analytics, Artificial Intelligence (AI), Health Care, Medical","Montréal, Quebec, Canada","Imagia is the indispensable AI healthcare partner for pharma, medical devices and clinical providers.","22,441"
ScreenPoint Medical,https://www.crunchbase.com/organization/screenpoint-medical,"Analytics, Artificial Intelligence (AI), Machine Learning, Medical, Software","Nijmegen, Gelderland, The Netherlands",ScreenPoint develops Deep Learning and image analysis technology for automated reading of mammograms.,"22,493"
LiveControl,https://www.crunchbase.com/organization/livecontrol-8c26,Machine Learning,"San Francisco, California, United States","Using AI and Machine Learning, LiveControl is moving the decades old video production process into the cloud.","22,534"
Drawbridge,https://www.crunchbase.com/organization/drawbridge,"Analytics, Artificial Intelligence (AI), Big Data, Digital Marketing, Identity Management, Machine Learning, Mobile, Personalization, SaaS","San Mateo, California, United States","Drawbridge uses large-scale AI and machine learning technology to build Identity solutions that connect, unify, & enhance customer data.","22,776"
Cobot,https://www.crunchbase.com/organization/cobot-bbd4,"Artificial Intelligence (AI), Education, Industrial, Machine Learning, Operating Systems, Robotics","Wuhan, Hubei, China",Chinese intelligent robot manipulation system provider.,"22,905"
Arize AI,https://www.crunchbase.com/organization/arize-ai,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Berkeley, California, United States",Arize AI offers a platform that explains and troubleshoots production AI.,"23,046"
Cosmo Tech,https://www.crunchbase.com/organization/cosmo-company,"Analytics, Artificial Intelligence (AI), Asset Management, B2B, PaaS, Predictive Analytics, Simulation, Software, Supply Chain Management","Lyon, Rhone-Alpes, France",Cosmo Tech is software provider of digital twin simulation that helps the C-suite make optimal business decisions.,"23,050"
Antuit,https://www.crunchbase.com/organization/antuit,"Artificial Intelligence (AI), Consumer Goods, Industrial Manufacturing, Management Consulting, Retail, SaaS, Software","Frisco, Texas, United States",Antuit is a provider of artificial intelligence (AI)-powered Software-as-a-Service solutions specific to forecasting and merchandising.,"23,134"
Certona,https://www.crunchbase.com/organization/certona,"Advertising, Artificial Intelligence (AI), Machine Learning, Personalization, Real Time, SaaS, Software","San Diego, California, United States",Certona is a software company that offers AI-powered omnichannel solutions for brands and retailers.,"23,207"
Alberta Machine Intelligence Institute,https://www.crunchbase.com/organization/alberta-machine-intelligence-institute,"Artificial Intelligence (AI), EdTech, Machine Learning","Edmonton, Alberta, Canada",Amii supports world-leading research in artificial intelligence and translates scientific advancement into industry adoption.,"23,743"
DTE ehf,https://www.crunchbase.com/organization/dynamic-technology-equipment,"Analytics, Industrial, Industrial Automation, Machine Learning, Sensor","Reykjavík, Gullbringusysla, Iceland",Actionable real-time process analytics for the metals industry.,"23,799"
CXA Group,https://www.crunchbase.com/organization/connexionsasia,"Artificial Intelligence (AI), Employee Benefits, Fitness, Health Care, Information Technology, Wellness","Singapore, Central Region, Singapore",CXA is a AI-powered health and wellness eco-system.,"23,804"
"HeartSciences (Heart Test Laboratories, Inc.)",https://www.crunchbase.com/organization/heart-test-laboratories,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Software","Southlake, Texas, United States",HeartSciences applies AI-based technology to an ECG to expand and improve an ECG’s clinical usefulness by detecting cardiac dysfunction.,"23,847"
EAVISION,https://www.crunchbase.com/organization/eavision,"Agriculture, Artificial Intelligence (AI), Drones, Hardware","Suzhou, Jiangsu, China","EAVISION is a manufacturing company that focuses on the research and development of drones for various applications, including agriculture.","23,964"
Twiggle,https://www.crunchbase.com/organization/twiggle,"Artificial Intelligence (AI), E-Commerce, Machine Learning, Natural Language Processing, Product Search, Retail Technology, SaaS","Tel Aviv, Tel Aviv, Israel","AI-Powered Search, Discovery, and Merchandising Solutions for E-Commerce","24,170"
HoloMatic,https://www.crunchbase.com/organization/holomatic,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Software, Transportation","Beijing, Beijing, China",HoloMatic is a autonomous driving technology start-up that provides auto-driven vehicles based on AI and automotive tech.,"24,223"
NEUROPHET,https://www.crunchbase.com/organization/neurophet,"Artificial Intelligence (AI), Machine Learning, Medical, Neuroscience, Software","Gangneung, Kangwon-do, South Korea",NEUROPHET is a medical SW company using advanced neuroscience and AI technologies for better brain treatment.,"24,530"
