Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Dala Health,https://www.crunchbase.com/funding_round/toucan-health-pre-seed--f65fca2f,Dala Health,https://www.crunchbase.com/organization/toucan-health,Pre-Seed,400000,AUD,275681,Seed,,,,Yes,2023-01-10,Your personal wellbeing partner.,,"Artificial Intelligence (AI), Software, Wellness","Brisbane, Queensland, Australia, Oceania",http://www.hellodala.com,,400000,AUD,275681,Seed,1,,,,,"394,882"
Seed Round - FinbotsAI,https://www.crunchbase.com/funding_round/finbots-ai-seed--d0f99485,FinbotsAI,https://www.crunchbase.com/organization/finbots-ai,Seed,602700,SGD,444874,Seed,,,,Yes,2022-03-31,Better Credit Decisions with AI,,"B2B, Banking, Commercial Lending, Consumer Lending, Credit Bureau, Financial Services, FinTech, Lending, Machine Learning, Micro Lending","Singapore, Central Region, Singapore, Asia",https://www.finbots.ai,$1M to $10M,4233190,USD,4233190,Early Stage Venture,5,Sanjay Uppal,Sanjay Uppal,1,,"373,617"
Pre Seed Round - NSBOT,https://www.crunchbase.com/funding_round/nsbot-pre-seed--3b5d199b,NSBOT,https://www.crunchbase.com/organization/nsbot,Pre-Seed,350000,USD,350000,Seed,,,,Yes,2022-01-01,NSBOT is a company that makes robots.,,"Artificial Intelligence (AI), Information Technology","Singapore, Central Region, Singapore, Asia",https://nsbot.tech/,,350000,USD,350000,Seed,1,,,,,"395,289"
Seed Round - Getin,https://www.crunchbase.com/funding_round/getin-48e4-seed--4937e457,Getin,https://www.crunchbase.com/organization/getin-48e4,Seed,750000,USD,750000,Seed,,,,Yes,2022-12-01,Platform of retail analytics,,"Analytics, Big Data, Business Intelligence, Predictive Analytics, Retail Technology","Mexico City, Distrito Federal, Mexico, North America",https://getin.mx/,,750000,USD,750000,Seed,3,,,,,"395,588"
Pre Seed Round - Imot.io,https://www.crunchbase.com/funding_round/imot-io-pre-seed--92c8cab0,Imot.io,https://www.crunchbase.com/organization/imot-io,Pre-Seed,700000,USD,700000,Seed,,,,Yes,2022-04-16,"Imot.io analyses calls, identifies inefficient employees, and increases sales.",,"Artificial Intelligence (AI), CRM, Sales, Sales Automation, Software, Speech Recognition","Delaware City, Delaware, United States, North America",https://imot.io,,700000,USD,700000,Seed,1,NuVX Capital,NuVX Capital,1,,"374,752"
Seed Round - Bilby,https://www.crunchbase.com/funding_round/bilby-seed--6461b24a,Bilby,https://www.crunchbase.com/organization/bilby,Seed,460000,USD,460000,Seed,,,,Yes,2022-03-18,Artificial Intelligence RegTech Platform,,"Artificial Intelligence (AI), FinTech, SaaS, Software","Hong Kong, Hong Kong Island, Hong Kong, Asia",https://www.bilby.ai/,$1M to $10M,2635000,USD,2635000,Seed,4,Animoca Brands,"Animoca Brands, Silverhorn Investment Advisors",2,2,"396,428"
Seed Round - Tasq,https://www.crunchbase.com/funding_round/tasq-seed--20cfa628,Tasq,https://www.crunchbase.com/organization/tasq,Seed,280000,USD,280000,Seed,,,,Yes,2022-06-16,Tasq is a developer of a task management system powered by machine learning.,,"Machine Learning, Management Information Systems, Oil and Gas, Software","Denver, Colorado, United States, North America",https://www.tasq.io/,$10M to $50M,490000,USD,490000,Seed,2,,,,,"560,701"
Pre Seed Round - VoiceMed,https://www.crunchbase.com/funding_round/voicemed-pre-seed--26ba3637,VoiceMed,https://www.crunchbase.com/organization/voicemed,Pre-Seed,250000,EUR,285287,Seed,,,,Yes,2022-01-16,AI and vocal biomarkers for providiny health check directly on the smartphone. Lung and cardiorespiratory health.,,"Artificial Intelligence (AI), Health Care","Luxembourg, Luxembourg, Luxembourg, Europe",https://www.voicemed.io,,475000,EUR,529439,Seed,2,,Padda Health,1,,"575,120"
Pre Seed Round - Bookinter,https://www.crunchbase.com/funding_round/bookinter-pre-seed--74057bd9,Bookinter,https://www.crunchbase.com/organization/bookinter,Pre-Seed,400000,EUR,440534,Seed,1200000,EUR,1321603,Yes,2022-03-10,All in one platform with channel manager and artificial intelligence for rental property management and commercialization,,"Artificial Intelligence (AI), Hospitality, Property Management, SaaS, Software","Palma De Mallorca, Islas Baleares, Spain, Europe",http://www.bookinter.es,,400000,EUR,440534,Seed,2,Jorge Pellicer,"Jorge Pellicer, Oscar Fuente",2,,"276,312"
Grant - ISeeChange,https://www.crunchbase.com/funding_round/iseechange-grant--ea65989c,ISeeChange,https://www.crunchbase.com/organization/iseechange,Grant,685000,USD,685000,,,,,No,2022-08-11,ISeeChange is an engagement and data platform to help cities combat cliamte change.,"Women Founded, Women Led","Artificial Intelligence (AI), Communities, Real Time, Social Impact","New Orleans, Louisiana, United States, North America",https://www.iseechange.com,Less than $1M,855000,USD,855000,Seed,3,Knight Foundation,Knight Foundation,1,,"277,266"
Grant - Nanose Medical,https://www.crunchbase.com/funding_round/nanose-medical-grant--63f469d9,Nanose Medical,https://www.crunchbase.com/organization/nanose-medical,Grant,600000,EUR,642332,,,,,No,2023-01-01,"A breath analyzer that provides an effortless, noninvasive, affordable test for remote diagnosis and monitoring of diseases using AI",,"Big Data, Health Care, Health Diagnostics, Machine Learning, Medical Device, Nanotechnology","Tel Aviv, Tel Aviv, Israel, Asia",https://nanosemed.com/,,6142332,USD,6142332,Seed,2,,European Union,1,,"277,506"
Seed Round - Opground,https://www.crunchbase.com/funding_round/opground-seed--5e1df4e9,Opground,https://www.crunchbase.com/organization/opground,Seed,500000,EUR,564159,Seed,,,,Yes,2022-01-04,Opground is a platform that provides virtual interviews through an AI system that connects entrepreneurs and startup companies.,,"Artificial Intelligence (AI), Human Resources, Information Technology, Recruiting","Barcelona, Catalonia, Spain, Europe",https://opground.com/,$1M to $10M,500000,EUR,564159,Seed,1,FI Group,"ENISA, FI Group, NEOTEC",3,,"278,055"
Angel Round - Ask for the Moon,https://www.crunchbase.com/funding_round/wingzy-angel--41181a03,Ask for the Moon,https://www.crunchbase.com/organization/wingzy,Angel,500000,EUR,565465,Seed,,,,Yes,2022-02-21,Spread and Secure Knowledge,,"Artificial Intelligence (AI), Information Technology, Machine Learning","Paris, Ile-de-France, France, Europe",https://home.askforthemoon.com/,,3000000,EUR,3290338,,2,,"Laurent Fiard, Olivier Brourhant",2,,"299,123"
Debt Financing - Ignis Technologies,https://www.crunchbase.com/funding_round/ignis-technologies-debt-financing--006a2edd,Ignis Technologies,https://www.crunchbase.com/organization/ignis-technologies,Debt Financing,700000,USD,700000,,,,,No,2023-05-03,Ignis Technologies is a fire technology company that develops a fire intelligence platform for firefighters.,,"Intelligent Systems, Public Safety, Software","Bozeman, Montana, United States, North America",https://www.ignistech.io/,,700000,USD,700000,M&A,1,,,,,"299,427"
Seed Round - Hyperspec-ai,https://www.crunchbase.com/funding_round/hyperspec-ai-seed--e201be41,Hyperspec-ai,https://www.crunchbase.com/organization/hyperspec-ai,Seed,500000,USD,500000,Seed,15000000,USD,15000000,Yes,2022-03-01,"We are expand navigable roadways for autonomous vehicles from 3% to 95%, today, by equipping each car with our onboard vision hardware.","South Asian Founded, Women Founded","Artificial Intelligence (AI), Automotive","San Francisco, California, United States, North America",https://hyperspec.ai,$1M to $10M,1880000,USD,1880000,Seed,5,,,,,"273,923"
Angel Round - GIBots,https://www.crunchbase.com/funding_round/gibots-angel--b3ab2dd9,GIBots,https://www.crunchbase.com/organization/gibots,Angel,41300000,INR,499784,Seed,,,,Yes,2023-02-28,GIBots  is a symphonic hyper-automation platform for enterprises with enhanced AI & machine learning capabilities.,,"Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning, Robotics, Software","Pune, Maharashtra, India, Asia",https://www.gibots.com/,$1M to $10M,41300000,INR,499784,Seed,1,,"Neeraj Srivastava, Subramaniam Ramadorai",2,,"301,041"
Pre Seed Round - JUPUS,https://www.crunchbase.com/funding_round/jupus-by-iurtech-pre-seed--2920fe1c,JUPUS,https://www.crunchbase.com/organization/jupus-by-iurtech,Pre-Seed,550000,EUR,596747,Seed,,,,Yes,2023-01-30,JUPUS is the AI secretary for law firms,,"Artificial Intelligence (AI), Legal Tech, SaaS","Cologne, Nordrhein-Westfalen, Germany, Europe",https://www.jupus.de,,1850000,EUR,2007415,Seed,3,,"Felix Plog, Ingo Weber, Philipp Hammerich, Stefan C. Schicker",4,,"275,257"
Seed Round - Apsy,https://www.crunchbase.com/funding_round/apsy-inc-seed--4f72c6bd,Apsy,https://www.crunchbase.com/organization/apsy-inc,Seed,725000,USD,725000,Seed,7500000,USD,7500000,Yes,2022-01-01,Apsy is the Pioneer in AI-Driven Software Development,Hispanic / Latine Led,"Artificial Intelligence (AI), Software","Los Angeles, California, United States, North America",https://www.apsy.io,Less than $1M,725000,USD,725000,Seed,3,,"Tech Coast Angels, Techstars",2,,"572,754"
Pre Seed Round - BixBeta Inc,https://www.crunchbase.com/funding_round/bixbeta-inc-pre-seed--1dbe23ab,BixBeta Inc,https://www.crunchbase.com/organization/bixbeta-inc,Pre-Seed,250000,USD,250000,Seed,10000000,USD,10000000,Yes,2022-10-01,Crypto Accounting and Payment Solution Software,"Women Founded, Women Led","Accounting, Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Non Profit, Payments, SaaS, Software","New York, New York, United States, North America",https://www.bixbeta.com,,285000,USD,285000,Seed,2,Oleg Ayupov,"Kate Koraia, Oleg Ayupov",2,,"603,777"
Pre Seed Round - CryptoSmartlife,https://www.crunchbase.com/funding_round/crypto-smartlife-pre-seed--bbbecafc,CryptoSmartlife,https://www.crunchbase.com/organization/crypto-smartlife,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-05-01,CryptoSmartlife is an artificial intelligence-powered Thematic crypto basket investment platform.,,"Artificial Intelligence (AI), Cryptocurrency, Financial Services, FinTech, Metaverse","Singapore, Central Region, Singapore, Asia",https://cryptosmartlife.com/,,250000,USD,250000,Seed,1,Xeno Capital,"SG Angels, Xeno Capital",2,,"604,766"
Seed Round - StoryBrain,https://www.crunchbase.com/funding_round/storybrain-seed--3151fa55,StoryBrain,https://www.crunchbase.com/organization/storybrain,Seed,500000,USD,500000,Seed,15000000,USD,15000000,Yes,2022-05-04,StoryBrain is an AI-powered visual content optimization platform that optimizes images for websites and apps.,,"Artificial Intelligence (AI), Machine Learning, Social Shopping","Singapore, Central Region, Singapore, Asia",https://storybrain.com,$1M to $10M,1100000,USD,1100000,Seed,3,,,,,"498,520"
Series A - MedHub-AI,https://www.crunchbase.com/funding_round/medhub-ai-series-a--ecb31d43,MedHub-AI,https://www.crunchbase.com/organization/medhub-ai,Series A,700000,USD,700000,Early Stage Venture,,,,Yes,2023-03-16,MedHub-AI develops deep-learning video analysis algorithms that provide accurate diagnostic insights and practical guidance for physicians.,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel, Asia",https://www.medhub-ai.com/,$1M to $10M,6320000,USD,6320000,Early Stage Venture,10,,,,,"606,289"
Venture Round - Speedio,https://www.crunchbase.com/funding_round/speedio-series-unknown--babfb246,Speedio,https://www.crunchbase.com/organization/speedio,Venture - Series Unknown,3600000,BRL,733242,,,,,Yes,2023-04-14,Speed ​​IO is a startup that applies big data to sales.,,"B2B, Big Data, Internet, Machine Learning, Software","São Paulo, Sao Paulo, Brazil, South America",https://speedio.com.br/,,3600000,BRL,733242,,1,"ACE Ventures, TM3 Capital","ACE Ventures, MARCELO BARATELLA, TM3 Capital, Venture Hub",4,2,"248,926"
Seed Round - HR Bot Factory,https://www.crunchbase.com/funding_round/hr-bot-factory-seed--2f24bc11,HR Bot Factory,https://www.crunchbase.com/organization/hr-bot-factory,Seed,650000,EUR,737262,Seed,,,,Yes,2022-01-19,HR Bot Factory is a human resources management company that promotes hassle-free and virtual recruitment.,,"Artificial Intelligence (AI), Human Resources, Recruiting","Madrid, Madrid, Spain, Europe",https://hrbotfactory.com/,Less than $1M,1650000,EUR,1813824,Seed,3,,"Dozen Investments, Draper B1",2,,"248,971"
Pre Seed Round - SocialGuru,https://www.crunchbase.com/funding_round/socialguru-pre-seed--255a048a,SocialGuru,https://www.crunchbase.com/organization/socialguru,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-11-12,AI Social Media Coordinator,,"Artificial Intelligence (AI), Marketplace, Social Media","Irvine, California, United States, North America",https://www.socialguru.ai/,,250000,USD,250000,Seed,1,,,,,"500,273"
Seed Round - Vivid Machines,https://www.crunchbase.com/funding_round/vivid-machines-seed--42434a92,Vivid Machines,https://www.crunchbase.com/organization/vivid-machines,Seed,346249,USD,346249,Seed,,,,Yes,2023-03-13,Vivid Machines is a startup company that revolutionizes agricultural production to help fruit and vegetable farmers produce more food.,,"AgTech, Artificial Intelligence (AI), Machine Learning, Software","Toronto, Ontario, Canada, North America",https://www.vivid-machines.com/,$1M to $10M,4737046,USD,4737046,Seed,6,,,,,"249,790"
Pre Seed Round - Booth AI,https://www.crunchbase.com/funding_round/booth-ai-pre-seed--6bb854b9,Booth AI,https://www.crunchbase.com/organization/booth-ai,Pre-Seed,570000,USD,570000,Seed,,,,Yes,2022-04-06,Booth.ai is a Generative AI-powered product photography platform,,"Artificial Intelligence (AI), Generative AI, Information Technology, Software","San Francisco, California, United States, North America",https://www.booth.ai/,,3270000,USD,3270000,Seed,4,Caffeinated Capital,Caffeinated Capital,1,,"249,853"
Seed Round - PrivateDeal,https://www.crunchbase.com/funding_round/privatedeal-seed--1afacb9d,PrivateDeal,https://www.crunchbase.com/organization/privatedeal,Seed,280000,CHF,300667,Seed,,,,Yes,2022-01-28,"PrivateDeal developed the first automated online price negotiation solution, using AI to personalize prices for each buyer.",,"Artificial Intelligence (AI), E-Commerce, Hospitality, Information Technology, Mobile, Retail Technology, SaaS, Software","Lausanne, Vaud, Switzerland, Europe",https://privatedeal.com,$1M to $10M,2150000,CHF,2268571,Seed,6,,,,,"250,050"
Pre Seed Round - Spectrums AI,https://www.crunchbase.com/funding_round/spectrums-ai-pre-seed--a9f6c25e,Spectrums AI,https://www.crunchbase.com/organization/spectrums-ai,Pre-Seed,700000,USD,700000,Seed,2000000,USD,2000000,Yes,2023-04-18,Helping Neurodivergent Minds with Artificial Intelligence - A product of Neurodivergence AI,,"Artificial Intelligence (AI), Health Care, Health Diagnostics","Montréal, Quebec, Canada, North America",https://www.spectrums.ai/,,700000,USD,700000,Seed,1,,"Google, Microsoft",2,,"250,084"
Pre Seed Round - Parabolic,https://www.crunchbase.com/funding_round/parabolic-55d5-pre-seed--eba27424,Parabolic,https://www.crunchbase.com/organization/parabolic-55d5,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Parabolic is a developer of AI-based assistant for customer support.,,"Artificial Intelligence (AI), Customer Service, Virtual Assistant","San Francisco, California, United States, North America",https://www.growparabolic.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"250,370"
Pre Seed Round - Plannly Health,https://www.crunchbase.com/funding_round/plannly-pre-seed--30ee8816,Plannly Health,https://www.crunchbase.com/organization/plannly,Pre-Seed,705000,USD,705000,Seed,,,,Yes,2022-10-10,Revolutionizing delivery outcomes by promoting equity — for Providers.,Women Founded,"Artificial Intelligence (AI), Health Care, Machine Learning, Software","Phoenix, Arizona, United States, North America",https://www.plannlyhealth.com/,,2524999,USD,2524999,Seed,6,,,,,"600,100"
